;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mae_train;mae_test;LOSS;VAL_LOSS
0;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;15;15;32;5;33;Adam;0.001;None;0.0021770000457763;2.9179840087890625;0.0012513479802336;0.0008465347133329;[0.007492102216929197, 0.004214733839035034, 0.002797897905111313, 0.0016951753059402108, 0.0010730380890890956];[0.005517035257071257, 0.0032955629285424948, 0.0023593595251441, 0.0023637539707124233, 0.0008465347345918417]
1;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;15;15;32;5;33;Adam;0.001;None;0.0020308494567871;2.9205660820007324;0.0017558522231487;0.001035607901946;[0.004372076131403446, 0.0020489722955971956, 0.0013424709904938936, 0.001003027893602848, 0.0006194148445501924];[0.0037552914582192898, 0.0013619207311421633, 0.0013777437852695584, 0.0011567792389541864, 0.001035607885569334]
2;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;15;15;32;5;33;Adam;0.001;None;0.0034844875335693;3.76982045173645;0.000417929179583;0.0005606611145935;[0.00197974662296474, 0.0008310012053698301, 0.0004828335950151086, 0.00038597098318859935, 0.0006371953058987856];[0.0013705164892598987, 0.00041111951577477157, 0.0008371821604669094, 0.0002827121352311224, 0.0005606610793620348]
3;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;15;15;32;5;33;Adam;0.001;None;0.003577709197998;3.801208972930908;0.0005185440559336;0.0002464792513228;[0.003538672113791108, 0.0009436276741325855, 0.00045363185927271843, 0.0005277955206111073, 0.0003781756677199155];[0.0020267856307327747, 0.0008169577340595424, 0.00106246885843575, 0.0008834315813146532, 0.00024647926329635084]
4;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;15;15;32;5;33;Adam;0.001;None;0.7566859722137451;5.728302001953125;0.012936766366576;0.0128776317935652;[0.06876731663942337, 0.02091175504028797, 0.016664033755660057, 0.015042317099869251, 0.013505651615560055];[0.02024015597999096, 0.01582002453505993, 0.0181723702698946, 0.01044495776295662, 0.01287763100117445]
5;mlp;0;{'hidden_layers': [32, 16, 8]};1;15;15;32;5;33;Adam;0.001;None;0.0011277198791503;1.135056734085083;0.0093155161879474;0.0063157625421975;[0.059260979294776917, 0.03141224756836891, 0.019075114279985428, 0.012280713766813278, 0.0074436115100979805];[0.04713581129908562, 0.029028024524450302, 0.01316071581095457, 0.013822088949382305, 0.006315762642771006]
6;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;15;15;32;5;33;Adam;0.01;None;0.0020093917846679;2.9106252193450928;0.0007137727590443;0.0010899410921954;[0.015718895941972733, 0.002144293626770377, 0.002120527671650052, 0.0010122401872649789, 0.0008942882996052504];[0.00351617019623518, 0.005862487945705652, 0.0007062377990223467, 0.001347899786196649, 0.0010899411281570792]
7;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;15;15;32;5;33;Adam;0.01;None;0.0020158290863037;2.9190421104431152;0.0030626828950899;0.0014289393785604;[0.01648874580860138, 0.001711046090349555, 0.0022296272218227386, 0.0013952667359262705, 0.0023494064807891846];[0.0018463452579453588, 0.003244940424337983, 0.0011699938913807273, 0.0018233502050861716, 0.0014289392856881022]
8;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;15;15;32;5;33;Adam;0.01;None;0.0036923885345458;3.837427854537964;0.000481590891069;0.0005531015731649;[0.00785635132342577, 0.0009726219577714801, 0.0013334037503227592, 0.0010839872993528843, 0.0008471801993437111];[0.003867343533784151, 0.0011335526360198855, 0.0019445576472207904, 0.002235901542007923, 0.0005531015922315419]
9;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;15;15;32;5;33;Adam;0.01;None;0.0035235881805419;3.8144264221191406;0.0006202348142387;0.0006358579351726;[0.012129396200180054, 0.0007503526285290718, 0.000689554086420685, 0.0005533655639737844, 0.00046287672012113035];[0.0008251398685388267, 0.000569692172575742, 0.0005862992256879807, 0.0016734595410525799, 0.0006358579848892987]
