MODEL,MODEL_INDEX,MODEL_DESCRIPTION,FORECAST_HORIZON,PAST_HISTORY,TRAIN_MAE,TEST_MAE,TRAIN_TIME,TEST_TIME
rf,0,"(100, 3, 2, 1)",1,15,0.00016988118419812012,0.00015096931599883383,0.34146881103515625,0.008517980575561523
rf,1,"(100, 3, 2, 3)",1,15,0.00016956055144630103,0.0001414491775042067,0.2180030345916748,0.010569095611572266
rf,2,"(100, 3, 2, 7)",1,15,0.00016957860119764764,0.00013749535427916887,0.27889204025268555,0.01358485221862793
rf,3,"(100, 3, 4, 1)",1,15,0.00016943722551610106,0.00013740304112673716,0.3305399417877197,0.009197711944580078
rf,4,"(100, 3, 4, 3)",1,15,0.00016928039610002597,0.00013758006639228237,0.2625870704650879,0.015118837356567383
rf,5,"(100, 3, 4, 7)",1,15,0.00016918143238708346,0.0001376112593058276,0.4297611713409424,0.010657072067260742
rf,6,"(100, 3, 8, 1)",1,15,0.00016912566284697203,0.00013762034886119094,0.2511870861053467,0.008130073547363281
rf,7,"(100, 3, 8, 3)",1,15,0.00016911458354353345,0.00013763903631015362,0.17690396308898926,0.007709980010986328
rf,8,"(100, 3, 8, 7)",1,15,0.00016912511098402257,0.000137722852436821,0.1651451587677002,0.007659912109375
rf,9,"(100, 6, 2, 1)",1,15,0.00016910384867978848,0.00013772329799045894,0.25588202476501465,0.007673978805541992
rf,10,"(100, 6, 2, 3)",1,15,0.00016910596832788724,0.0001378365499626022,0.2539041042327881,0.008104801177978516
rf,11,"(100, 6, 2, 7)",1,15,0.0001691193809463356,0.00013783529302869855,0.24776887893676758,0.008533000946044922
rf,12,"(100, 6, 4, 1)",1,15,0.00016912597380263017,0.00013778838859518296,0.374927282333374,0.007596254348754883
rf,13,"(100, 6, 4, 3)",1,15,0.00016911797455133776,0.0001378021788351774,0.3287210464477539,0.012473106384277344
rf,14,"(100, 6, 4, 7)",1,15,0.0001690371088636403,0.00013784163860359845,0.2473912239074707,0.010439872741699219
rf,15,"(100, 6, 8, 1)",1,15,0.0001689926670651546,0.00013782541587501105,0.2587888240814209,0.009449005126953125
rf,16,"(100, 6, 8, 3)",1,15,0.00016895708985982993,0.0001378439735439667,0.2540428638458252,0.008603096008300781
rf,17,"(100, 6, 8, 7)",1,15,0.00016891403504177714,0.00013782924122614625,0.3002357482910156,0.00856781005859375
rf,18,"(100, 8, 2, 1)",1,15,0.00016883725792657061,0.00013783441863671943,0.35526394844055176,0.008722066879272461
rf,19,"(100, 8, 2, 3)",1,15,0.00016878897284837652,0.00013785409306883627,0.3473169803619385,0.0269010066986084
rf,20,"(100, 8, 2, 7)",1,15,0.00016876706930949977,0.00013780179724516453,0.3676280975341797,0.008873939514160156
rf,21,"(100, 8, 4, 1)",1,15,0.0001687505863826034,0.00013782686883411383,0.5019850730895996,0.01202702522277832
rf,22,"(100, 8, 4, 3)",1,15,0.0001687160766308754,0.00013783079477015388,0.34791994094848633,0.008107900619506836
rf,23,"(100, 8, 4, 7)",1,15,0.00016867023500065736,0.00013782420957753102,0.305678129196167,0.00799417495727539
rf,24,"(100, 8, 8, 1)",1,15,0.00016864506287916415,0.00013783776464456685,0.4505958557128906,0.009877920150756836
rf,25,"(100, 8, 8, 3)",1,15,0.00016858648462162294,0.000137833907369303,0.3617517948150635,0.00928807258605957
rf,26,"(100, 8, 8, 7)",1,15,0.00016853700781614458,0.000137827995350387,0.37974095344543457,0.009055137634277344
rf,27,"(200, 3, 2, 1)",1,15,0.00016847985521421745,0.00013832870692516322,0.5737416744232178,0.016478300094604492
rf,28,"(200, 3, 2, 3)",1,15,0.00016843334885715663,0.00013850113569340277,0.4081721305847168,0.013106822967529297
rf,29,"(200, 3, 2, 7)",1,15,0.00016840160573864635,0.00013865911521531118,0.48355984687805176,0.012933969497680664
rf,30,"(200, 3, 4, 1)",1,15,0.0001683666827212828,0.00013875080749251468,0.4612138271331787,0.015099048614501953
rf,31,"(200, 3, 4, 3)",1,15,0.00016833053236525034,0.00013884489145709342,0.47113609313964844,0.015592813491821289
rf,32,"(200, 3, 4, 7)",1,15,0.0001682731860130546,0.00013888995867915118,0.4594078063964844,0.01380777359008789
rf,33,"(200, 3, 8, 1)",1,15,0.00016826966381924946,0.0001389395860923238,0.40752410888671875,0.014664888381958008
rf,34,"(200, 3, 8, 3)",1,15,0.00016824901734682375,0.0001389975578170983,0.4561138153076172,0.03529191017150879
rf,35,"(200, 3, 8, 7)",1,15,0.00016822213212920844,0.0001390491728201296,0.4451420307159424,0.012443065643310547
rf,36,"(200, 6, 2, 1)",1,15,0.00016819246323547654,0.00013904574927261015,0.6124978065490723,0.015223979949951172
rf,37,"(200, 6, 2, 3)",1,15,0.00016817901028132366,0.00013904767800387694,0.5874660015106201,0.013910770416259766
rf,38,"(200, 6, 2, 7)",1,15,0.00016817893923962892,0.0001390696857603743,0.5073237419128418,0.01268911361694336
rf,39,"(200, 6, 4, 1)",1,15,0.0001681805534871319,0.0001390547646403474,0.501093864440918,0.013362884521484375
rf,40,"(200, 6, 4, 3)",1,15,0.00016819965691729083,0.00013905571720438745,0.4869389533996582,0.014187097549438477
rf,41,"(200, 6, 4, 7)",1,15,0.00016821211474714567,0.00013906449926205297,0.47866296768188477,0.015333890914916992
rf,42,"(200, 6, 8, 1)",1,15,0.00016823710796738632,0.00013906176769932333,0.5041019916534424,0.013679027557373047
rf,43,"(200, 6, 8, 3)",1,15,0.00016825323548625071,0.000139074541636983,0.4839799404144287,0.013464927673339844
rf,44,"(200, 6, 8, 7)",1,15,0.00016826715720402827,0.000139073070371575,0.4761197566986084,0.013260841369628906
rf,45,"(200, 8, 2, 1)",1,15,0.0001682885849543013,0.00013907358968532518,0.6248989105224609,0.014812231063842773
rf,46,"(200, 8, 2, 3)",1,15,0.00016831472076199338,0.00013910239428020568,0.5944929122924805,0.013616085052490234
rf,47,"(200, 8, 2, 7)",1,15,0.00016832909456227318,0.00013909631076988407,0.5769071578979492,0.014880895614624023
rf,48,"(200, 8, 4, 1)",1,15,0.00016835119356969276,0.0001390989327831198,0.6254363059997559,0.013983011245727539
rf,49,"(200, 8, 4, 3)",1,15,0.00016834940648382892,0.0001391048443726795,0.5900778770446777,0.014371871948242188
rf,50,"(200, 8, 4, 7)",1,15,0.0001683673427779035,0.00013909592063436838,0.5815181732177734,0.013636112213134766
rf,51,"(200, 8, 8, 1)",1,15,0.00016837771527314813,0.000139104550693851,0.5836532115936279,0.015759706497192383
rf,52,"(200, 8, 8, 3)",1,15,0.0001683876931283895,0.0001391259099310221,0.594470739364624,0.013849973678588867
rf,53,"(200, 8, 8, 7)",1,15,0.0001683987854745211,0.00013911084958404788,0.5685329437255859,0.01452326774597168
rf,54,"(300, 3, 2, 1)",1,15,0.00016842129571098953,0.00013938370132922002,0.4885411262512207,0.017325162887573242
rf,55,"(300, 3, 2, 3)",1,15,0.00016844221449048628,0.00013945461634903015,0.5550751686096191,0.028075218200683594
rf,56,"(300, 3, 2, 7)",1,15,0.000168466081939734,0.0001394724458173213,0.5648996829986572,0.016896963119506836
rf,57,"(300, 3, 4, 1)",1,15,0.00016849691401791669,0.0001394987271538984,0.49488162994384766,0.017810821533203125
rf,58,"(300, 3, 4, 3)",1,15,0.0001685183064354549,0.00013953854976213383,0.48845505714416504,0.01844501495361328
rf,59,"(300, 3, 4, 7)",1,15,0.00016853796158959085,0.00013956169044045214,0.4931490421295166,0.01738286018371582
rf,60,"(300, 3, 8, 1)",1,15,0.0001685663509582185,0.0001395790297195556,0.4834890365600586,0.02010178565979004
rf,61,"(300, 3, 8, 3)",1,15,0.0001685961870123256,0.00013962197255801872,0.4856429100036621,0.01821112632751465
rf,62,"(300, 3, 8, 7)",1,15,0.00016862678887614074,0.00013964432549283195,0.4820139408111572,0.017470836639404297
rf,63,"(300, 6, 2, 1)",1,15,0.00016865581693092254,0.00013964398314109314,0.727482795715332,0.01904606819152832
rf,64,"(300, 6, 2, 3)",1,15,0.00016868761771304992,0.00013965868778446173,0.7343270778656006,0.01836085319519043
rf,65,"(300, 6, 2, 7)",1,15,0.00016870780863353067,0.00013969020325007485,0.7273509502410889,0.018897056579589844
rf,66,"(300, 6, 4, 1)",1,15,0.00016872520056443945,0.00013968360998245472,0.744879961013794,0.019500017166137695
rf,67,"(300, 6, 4, 3)",1,15,0.0001687495017545306,0.00013969811158991694,0.7635328769683838,0.020686864852905273
rf,68,"(300, 6, 4, 7)",1,15,0.00016877477535868352,0.00013972473308387714,0.9544620513916016,0.04530215263366699
rf,69,"(300, 6, 8, 1)",1,15,0.00016879676837414253,0.0001397334680898656,0.9561479091644287,0.018950939178466797
rf,70,"(300, 6, 8, 3)",1,15,0.00016881851387555248,0.00013975590969707703,1.47760009765625,0.03612232208251953
rf,71,"(300, 6, 8, 7)",1,15,0.00016884257702898977,0.0001397835636811111,1.5180397033691406,0.06732892990112305
rf,72,"(300, 8, 2, 1)",1,15,0.00016886516749764634,0.00013978247557944244,1.481227159500122,0.020157814025878906
rf,73,"(300, 8, 2, 3)",1,15,0.0001688929154683608,0.00013981515009623246,1.1077880859375,0.02197885513305664
rf,74,"(300, 8, 2, 7)",1,15,0.00016890395312750434,0.00013986199502589834,1.0794329643249512,0.021723270416259766
rf,75,"(300, 8, 4, 1)",1,15,0.00016892720021374755,0.00013985016784914098,1.1547987461090088,0.03961610794067383
